id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,296,1,5.0917e-01,2.2389e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,2,7.2167e-01,1.0857e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,3,7.6583e-01,7.4814e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,4,7.8417e-01,6.7165e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,5,7.8667e-01,6.2679e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,6,7.9667e-01,5.9295e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,7,8.0333e-01,5.6474e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,8,8.1083e-01,5.4086e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,9,8.1833e-01,5.2036e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,10,8.2417e-01,5.0203e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,11,8.2667e-01,4.8632e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,12,8.2667e-01,4.7248e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,13,8.3167e-01,4.5937e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,14,8.3000e-01,4.4820e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,15,8.3583e-01,4.3795e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,1,5.5167e-01,1.9783e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,2,6.5750e-01,9.7609e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,3,6.8667e-01,7.8051e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,4,7.4583e-01,6.9173e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,5,7.6917e-01,6.3657e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,6,7.8083e-01,5.9706e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,7,7.9333e-01,5.6794e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,8,7.9333e-01,5.4312e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,9,8.0250e-01,5.2189e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,10,8.0583e-01,5.0379e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,11,8.1083e-01,4.8613e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,12,8.1917e-01,4.7089e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,13,8.2833e-01,4.5637e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,14,8.3750e-01,4.4398e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,15,8.3750e-01,4.3346e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,1,3.9500e-01,2.2811e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,2,6.5583e-01,1.4082e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,3,7.2750e-01,7.8993e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,4,7.6917e-01,6.8832e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,5,7.7667e-01,6.3804e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,6,7.9333e-01,6.0406e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,7,7.9750e-01,5.7749e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,8,8.0583e-01,5.5560e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,9,8.0917e-01,5.3652e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,10,8.1167e-01,5.2074e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,11,8.1083e-01,5.0608e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,12,8.1500e-01,4.9401e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,13,8.2083e-01,4.8240e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,14,8.1583e-01,4.7129e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,15,8.1500e-01,4.6076e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,1,4.9583e-01,2.1792e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,2,6.6333e-01,1.0184e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,3,7.1000e-01,7.8825e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,4,7.2167e-01,7.1543e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,5,7.4250e-01,6.6556e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
