id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,296,1,4.1408e-01,2.2435e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,2,6.9800e-01,1.0778e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,3,7.4158e-01,7.3789e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,4,7.6467e-01,6.6326e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,5,7.7933e-01,6.1899e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,6,7.8958e-01,5.8674e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,7,7.9908e-01,5.6017e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,8,8.0583e-01,5.3724e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,9,8.1350e-01,5.1704e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,10,8.2192e-01,4.9891e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,11,8.2700e-01,4.8274e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,12,8.3250e-01,4.6818e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,13,8.3717e-01,4.5499e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,14,8.4025e-01,4.4331e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,296,15,8.4383e-01,4.3259e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,1,5.5225e-01,1.9827e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,2,6.7217e-01,9.7504e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,3,7.1033e-01,7.7796e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,4,7.4333e-01,6.8922e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,5,7.6300e-01,6.3258e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,6,7.7617e-01,5.9310e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,7,7.8517e-01,5.6298e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,8,7.9492e-01,5.3845e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,9,8.0408e-01,5.1728e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,10,8.1258e-01,4.9870e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,11,8.1917e-01,4.8207e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,12,8.2608e-01,4.6708e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,13,8.2975e-01,4.5371e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,14,8.3342e-01,4.4139e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
2,297,15,8.3767e-01,4.3022e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,1,3.3658e-01,2.2809e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,2,6.5842e-01,1.4030e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,3,7.1733e-01,7.9232e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,4,7.3825e-01,6.9032e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,5,7.5292e-01,6.3935e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,6,7.6300e-01,6.0420e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,7,7.7375e-01,5.7651e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,8,7.8175e-01,5.5343e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,9,7.8900e-01,5.3379e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,10,7.9300e-01,5.1663e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,11,7.9675e-01,5.0159e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,12,8.0292e-01,4.8812e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,13,8.0767e-01,4.7593e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,14,8.1242e-01,4.6453e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
3,298,15,8.1475e-01,4.5359e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,1,4.8392e-01,2.1778e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,2,6.5483e-01,1.0198e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,3,6.9733e-01,7.8940e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,4,7.2450e-01,7.1595e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,5,7.4533e-01,6.6554e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,6,7.5842e-01,6.2342e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,7,7.7008e-01,5.8936e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,8,7.8117e-01,5.6085e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,9,7.8933e-01,5.3676e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,10,7.9875e-01,5.1618e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,11,8.0542e-01,4.9818e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,12,8.1233e-01,4.8233e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,13,8.1825e-01,4.6862e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,14,8.2283e-01,4.5633e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
4,299,15,8.2642e-01,4.4527e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,1,3.9933e-01,2.2524e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,2,6.9967e-01,1.1285e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,3,7.3342e-01,7.5701e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,4,7.5783e-01,6.8196e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,5,7.7208e-01,6.3292e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,6,7.8442e-01,5.9727e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,7,7.9458e-01,5.6874e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,8,8.0308e-01,5.4462e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,9,8.1225e-01,5.2317e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,10,8.2075e-01,5.0354e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,11,8.2883e-01,4.8543e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,12,8.3542e-01,4.6877e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,13,8.3950e-01,4.5379e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,14,8.4325e-01,4.4104e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
5,300,15,8.4517e-01,4.2988e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,1,5.4775e-01,1.8819e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,2,6.3100e-01,1.0613e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,3,6.8342e-01,8.7736e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,4,7.1083e-01,7.7883e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,5,7.3092e-01,7.0905e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,6,7.5175e-01,6.5252e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,7,7.6742e-01,6.0858e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,8,7.8125e-01,5.7488e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,9,7.9117e-01,5.4807e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,10,8.0083e-01,5.2646e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,11,8.0917e-01,5.0901e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,12,8.1442e-01,4.9385e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,13,8.1933e-01,4.8013e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,14,8.2517e-01,4.6835e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
6,301,15,8.2942e-01,4.5747e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,1,5.6242e-01,1.9967e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,2,6.9183e-01,9.2113e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,3,7.3283e-01,7.3784e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,4,7.5517e-01,6.6070e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,5,7.7008e-01,6.1103e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,6,7.8175e-01,5.7562e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,7,7.9175e-01,5.4755e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,8,8.0100e-01,5.2413e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,9,8.1000e-01,5.0436e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,10,8.1858e-01,4.8743e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,11,8.2342e-01,4.7300e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,12,8.3033e-01,4.5990e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,13,8.3575e-01,4.4824e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,14,8.3817e-01,4.3770e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
7,302,15,8.4067e-01,4.2812e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,1,5.2642e-01,2.0876e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,2,6.5425e-01,1.0428e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,3,7.0575e-01,8.2436e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,4,7.3842e-01,7.2045e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,5,7.6208e-01,6.5722e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,6,7.7825e-01,6.1400e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,7,7.9000e-01,5.8136e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,8,7.9758e-01,5.5473e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,9,8.0342e-01,5.3191e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,10,8.1258e-01,5.1199e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,11,8.1775e-01,4.9428e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,12,8.2292e-01,4.7826e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,13,8.2883e-01,4.6377e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,14,8.3375e-01,4.5006e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
8,303,15,8.3667e-01,4.3762e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,1,5.9275e-01,1.8267e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,2,6.7000e-01,9.6131e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,3,7.0450e-01,8.1240e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,4,7.2917e-01,7.3519e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,5,7.4808e-01,6.8167e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,6,7.5917e-01,6.4074e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,7,7.7267e-01,6.0904e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,8,7.8150e-01,5.8207e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,9,7.8908e-01,5.5959e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,10,7.9625e-01,5.3982e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,11,8.0275e-01,5.2226e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,12,8.0767e-01,5.0682e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,13,8.1342e-01,4.9272e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,14,8.1942e-01,4.8009e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
9,304,15,8.2033e-01,4.6866e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
10,305,1,4.0025e-01,2.2189e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
10,305,2,6.7667e-01,1.0818e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
10,305,3,7.2025e-01,7.8023e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
10,305,4,7.4067e-01,6.9913e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
