id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,336,1,2.8417e-01,2.2695e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,2,5.6917e-01,1.2895e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,3,6.4333e-01,9.9852e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,4,6.8667e-01,8.7417e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,5,7.1167e-01,7.8590e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,6,7.3000e-01,7.2339e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,7,7.4917e-01,6.7887e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,8,7.5917e-01,6.4640e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,9,7.6917e-01,6.2214e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,10,7.7750e-01,6.0017e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,11,7.8667e-01,5.8312e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,12,7.9333e-01,5.6691e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,13,8.0083e-01,5.5192e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,14,8.0667e-01,5.3698e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,15,8.1250e-01,5.2384e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,1,6.1000e-01,1.9983e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,2,6.9000e-01,1.0509e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,3,7.3333e-01,8.4528e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,4,7.5417e-01,7.5238e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,5,7.6917e-01,6.9592e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,6,7.7333e-01,6.5690e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,7,7.8083e-01,6.2681e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,8,7.8500e-01,6.0388e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,9,7.9500e-01,5.8240e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,10,8.0083e-01,5.6448e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,11,8.0083e-01,5.4697e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,12,7.9750e-01,5.3254e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,13,8.0583e-01,5.1964e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,14,8.1167e-01,5.0886e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,15,8.1083e-01,4.9866e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,1,3.6167e-01,2.2817e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,2,6.3500e-01,1.4569e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,3,6.8917e-01,9.7396e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,4,7.2583e-01,8.3836e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,5,7.5167e-01,7.5462e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,6,7.6500e-01,6.9381e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,7,7.7417e-01,6.5224e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,8,7.8417e-01,6.2064e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,9,7.9083e-01,5.9584e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,10,8.0750e-01,5.7628e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,11,8.1333e-01,5.5807e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,12,8.2500e-01,5.4372e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,13,8.2500e-01,5.3154e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,14,8.2583e-01,5.1887e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,338,15,8.2750e-01,5.0875e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,339,1,2.8250e-01,2.2660e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,339,2,6.3750e-01,1.2814e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,339,3,6.7167e-01,8.4572e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,339,4,6.9167e-01,7.6384e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,339,5,7.3167e-01,7.1678e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,339,6,7.5583e-01,6.8259e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,339,7,7.8750e-01,6.5278e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
