id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,336,1,3.3950e-01,2.2651e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,2,6.0442e-01,1.2770e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,3,6.6550e-01,9.7501e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,4,6.9450e-01,8.4904e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,5,7.1550e-01,7.6345e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,6,7.3517e-01,7.0198e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,7,7.4950e-01,6.5989e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,8,7.5892e-01,6.2803e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,9,7.6875e-01,6.0268e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,10,7.7500e-01,5.8172e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,11,7.8125e-01,5.6358e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,12,7.8933e-01,5.4724e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,13,7.9517e-01,5.3279e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,14,8.0083e-01,5.1936e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,336,15,8.1050e-01,5.0677e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,1,5.6850e-01,1.9841e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,2,6.8125e-01,1.0249e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,3,7.2725e-01,8.2326e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,4,7.4617e-01,7.3003e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,5,7.6242e-01,6.7338e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,6,7.7117e-01,6.3373e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,7,7.8200e-01,6.0354e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,8,7.8808e-01,5.7979e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,9,7.9608e-01,5.5961e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,10,8.0300e-01,5.4210e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,11,8.0908e-01,5.2644e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,12,8.1183e-01,5.1282e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,13,8.1658e-01,5.0109e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,14,8.2050e-01,4.9009e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,337,15,8.2217e-01,4.8053e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
