id_esperimento,seed,round,p_profile,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,376,1,0.75,3.7333e-01,2.2874e+00,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,2,0.75,6.2333e-01,1.5621e+00,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,3,0.75,6.6917e-01,1.0150e+00,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,4,0.75,6.9833e-01,8.3940e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,5,0.75,7.3000e-01,7.5101e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,6,0.75,7.6167e-01,6.9679e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,7,0.75,7.6917e-01,6.6351e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,8,0.75,7.8750e-01,6.3624e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,9,0.75,7.8500e-01,6.1325e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,10,0.75,7.9333e-01,5.9457e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,11,0.75,7.9750e-01,5.7767e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,12,0.75,8.0667e-01,5.6297e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,13,0.75,8.1000e-01,5.4948e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,14,0.75,8.0917e-01,5.3694e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,376,15,0.75,8.1167e-01,5.2637e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,377,1,0.75,1.6250e-01,2.2973e+00,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,377,2,0.75,4.6917e-01,2.1633e+00,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,377,3,0.75,6.7833e-01,1.3011e+00,5.5057e-02,1.9118e-01,3.1596e+05,4800
