id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,376,1,2.4992e-01,2.2292e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,2,4.3867e-01,1.8070e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,3,5.1933e-01,1.3855e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,4,6.5575e-01,1.1123e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,5,6.9858e-01,8.8360e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,6,7.1992e-01,7.9093e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,7,7.3592e-01,7.3756e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,8,7.4608e-01,7.0121e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,9,7.5167e-01,6.7352e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,10,7.5825e-01,6.5100e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,11,7.6500e-01,6.3232e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,12,7.7108e-01,6.1632e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,13,7.7708e-01,6.0246e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,14,7.8133e-01,5.9004e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,376,15,7.8500e-01,5.7880e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,1,2.1017e-01,2.2711e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,2,3.0575e-01,2.0964e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,3,4.9900e-01,1.6668e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,4,5.8858e-01,1.2939e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,5,6.8408e-01,9.9290e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,6,7.0858e-01,8.4610e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,7,7.2633e-01,7.7624e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,8,7.3650e-01,7.3140e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,9,7.4642e-01,6.9838e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,10,7.5450e-01,6.7165e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,11,7.6133e-01,6.4900e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,12,7.6617e-01,6.3005e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,13,7.7467e-01,6.1334e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,14,7.7867e-01,5.9897e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,377,15,7.8408e-01,5.8499e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,1,1.8317e-01,2.2904e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,2,3.1850e-01,2.1150e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,3,5.1308e-01,1.5841e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,4,6.7200e-01,1.0219e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,5,7.0642e-01,8.4420e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,6,7.2242e-01,7.7508e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,7,7.3533e-01,7.3317e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,8,7.4767e-01,7.0293e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,9,7.5575e-01,6.7952e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,10,7.6333e-01,6.5983e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,11,7.6733e-01,6.4281e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,12,7.7583e-01,6.2704e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,13,7.7983e-01,6.1305e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,14,7.8467e-01,5.9979e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,378,15,7.8892e-01,5.8755e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,1,3.1075e-01,2.1501e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,2,5.7525e-01,1.4810e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,3,6.3358e-01,1.0658e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,4,6.7100e-01,9.3989e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,5,6.9175e-01,8.7125e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,6,7.0492e-01,8.2566e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,7,7.1575e-01,7.8998e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,8,7.2708e-01,7.5947e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,9,7.3617e-01,7.3213e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,10,7.4483e-01,7.0751e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,11,7.5408e-01,6.8435e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,12,7.6050e-01,6.6322e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,13,7.6675e-01,6.4442e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,14,7.7367e-01,6.2840e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,379,15,7.7733e-01,6.1365e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,1,1.8367e-01,2.2735e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,2,3.3458e-01,2.0801e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,3,5.1442e-01,1.5604e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,4,6.0583e-01,1.2122e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,5,6.6283e-01,9.9361e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,6,6.8100e-01,8.8251e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,7,6.9767e-01,8.2264e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,8,7.1158e-01,7.7700e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,9,7.2192e-01,7.4039e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,10,7.2892e-01,7.1130e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,11,7.3883e-01,6.8636e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,12,7.4542e-01,6.6461e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,13,7.5158e-01,6.4507e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,14,7.5692e-01,6.2745e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,380,15,7.6367e-01,6.1205e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,1,2.2283e-01,2.2064e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,2,4.5100e-01,1.8304e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,3,5.2533e-01,1.4544e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,4,6.3917e-01,1.1781e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,5,6.7267e-01,9.7584e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,6,6.9067e-01,8.8656e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,7,7.0342e-01,8.2999e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,8,7.1133e-01,7.8952e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,9,7.2000e-01,7.5931e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,10,7.2925e-01,7.3447e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,11,7.3592e-01,7.1335e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,12,7.4100e-01,6.9460e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,13,7.4683e-01,6.7714e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,14,7.5200e-01,6.6170e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,381,15,7.5733e-01,6.4685e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,1,2.2783e-01,2.2556e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,2,4.2300e-01,1.8833e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,3,5.8600e-01,1.3732e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,4,6.4858e-01,1.0044e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,5,6.7417e-01,8.8092e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,6,6.9317e-01,8.1758e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,7,7.1142e-01,7.7382e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,8,7.2567e-01,7.3771e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,9,7.3917e-01,7.0572e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,10,7.4767e-01,6.7826e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,11,7.5567e-01,6.5485e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,12,7.6142e-01,6.3530e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,13,7.6767e-01,6.1869e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,14,7.7200e-01,6.0453e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,382,15,7.7650e-01,5.9171e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,1,2.0208e-01,2.2880e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,2,3.4008e-01,2.0702e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,3,4.7942e-01,1.5971e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,4,6.4075e-01,1.2222e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,5,6.7008e-01,9.9511e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,6,6.9425e-01,9.0497e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,7,7.0633e-01,8.4418e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,8,7.1483e-01,8.0021e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,9,7.2367e-01,7.6502e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,10,7.3183e-01,7.3692e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,11,7.3800e-01,7.1352e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,12,7.4458e-01,6.9224e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,13,7.5358e-01,6.7284e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,14,7.5933e-01,6.5464e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
8,383,15,7.6300e-01,6.3726e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,1,3.0233e-01,2.1715e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,2,4.4192e-01,1.6731e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,3,4.9150e-01,1.4374e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,4,5.2067e-01,1.3359e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,5,6.3742e-01,1.1885e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,6,6.7525e-01,9.4701e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,7,6.9833e-01,8.4782e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,8,7.2117e-01,7.8348e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,9,7.3325e-01,7.3813e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,10,7.4225e-01,7.0404e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,11,7.4817e-01,6.7564e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,12,7.5633e-01,6.5221e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,13,7.6375e-01,6.3203e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,14,7.6933e-01,6.1419e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
9,384,15,7.7625e-01,5.9850e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,1,2.8625e-01,2.2341e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,2,4.7075e-01,1.7315e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,3,5.7783e-01,1.3449e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,4,6.7467e-01,1.0306e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,5,6.9958e-01,8.8816e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,6,7.1750e-01,8.0993e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,7,7.3225e-01,7.6013e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,8,7.4333e-01,7.2480e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,9,7.5133e-01,6.9692e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,10,7.5775e-01,6.7388e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,11,7.6367e-01,6.5410e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,12,7.6992e-01,6.3673e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,13,7.7258e-01,6.2142e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,14,7.7775e-01,6.0785e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
10,385,15,7.8467e-01,5.9534e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,1,2.7092e-01,2.2120e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,2,4.5733e-01,1.7940e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,3,6.2208e-01,1.1941e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,4,6.6283e-01,9.7819e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,5,6.9058e-01,8.7906e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,6,7.0875e-01,8.1613e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,7,7.2208e-01,7.7138e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,8,7.3075e-01,7.3724e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,9,7.4058e-01,7.0897e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,10,7.4758e-01,6.8578e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,11,7.5625e-01,6.6510e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,12,7.6192e-01,6.4692e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,13,7.6617e-01,6.2988e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,14,7.6942e-01,6.1503e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
11,386,15,7.7525e-01,6.0161e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
