id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,416,1,3.7167e-01,2.2866e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,2,6.4833e-01,1.5973e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,3,7.1917e-01,8.2211e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,4,7.5583e-01,6.7696e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,5,7.6917e-01,6.1039e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,6,7.8333e-01,5.7252e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,7,8.0083e-01,5.4460e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,8,8.1083e-01,5.2304e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,9,8.1750e-01,5.0462e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,10,8.2667e-01,4.8892e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,11,8.3167e-01,4.7500e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,12,8.3000e-01,4.6239e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,13,8.3833e-01,4.5193e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,14,8.4500e-01,4.4178e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,15,8.4500e-01,4.3252e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,1,3.7750e-01,2.2692e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,2,6.1083e-01,1.3092e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,3,6.7917e-01,8.7179e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,4,7.0250e-01,7.5904e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,5,7.2250e-01,6.9082e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,6,7.3667e-01,6.4189e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,7,7.5417e-01,6.0584e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,8,7.6000e-01,5.7684e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,9,7.6250e-01,5.5407e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,10,7.7750e-01,5.3370e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,11,7.7750e-01,5.1639e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,12,7.8833e-01,5.0245e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,13,8.0000e-01,4.8913e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,14,8.1333e-01,4.7658e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,15,8.2500e-01,4.6637e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,1,5.6500e-01,2.2647e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,2,6.6833e-01,1.2502e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,3,7.1750e-01,8.0698e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,4,7.4000e-01,6.9482e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,5,7.5083e-01,6.2813e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,6,7.6750e-01,5.8223e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,7,7.8250e-01,5.4904e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,8,7.8833e-01,5.2441e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,9,7.9083e-01,5.0381e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,10,8.0167e-01,4.8630e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,11,8.0750e-01,4.7002e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,12,8.1333e-01,4.5656e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,13,8.1667e-01,4.4403e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,14,8.2833e-01,4.3250e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,15,8.2583e-01,4.2181e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,1,5.6917e-01,2.2538e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,2,6.6750e-01,1.2839e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,3,7.3333e-01,8.7582e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,4,7.5083e-01,7.5140e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,5,7.6917e-01,6.8153e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,6,7.8833e-01,6.3293e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,7,7.9750e-01,5.9757e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,8,8.0667e-01,5.6850e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,9,8.1750e-01,5.4426e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,10,8.2333e-01,5.2287e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,11,8.3500e-01,5.0436e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,12,8.4083e-01,4.8801e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,13,8.4167e-01,4.7350e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,14,8.4750e-01,4.6076e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,15,8.5083e-01,4.5000e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,1,4.3417e-01,2.2522e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,2,6.0583e-01,1.2144e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,3,6.5333e-01,8.3255e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,4,7.0250e-01,7.3472e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,5,7.3500e-01,6.7714e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,6,7.5333e-01,6.3523e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,7,7.6583e-01,6.0298e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,8,7.7583e-01,5.7824e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,9,7.8250e-01,5.5609e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,10,7.7750e-01,5.3774e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
