id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,416,1,4.4858e-01,2.2874e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,2,6.3142e-01,1.6061e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,3,7.1017e-01,8.3523e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,4,7.4533e-01,6.8941e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,5,7.6033e-01,6.2444e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,6,7.7525e-01,5.8550e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,7,7.8558e-01,5.5676e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,8,7.9642e-01,5.3355e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,9,8.0333e-01,5.1377e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,10,8.1225e-01,4.9637e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,11,8.1933e-01,4.8124e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,12,8.2483e-01,4.6722e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,13,8.2942e-01,4.5523e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,14,8.3267e-01,4.4385e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,416,15,8.3617e-01,4.3352e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,1,4.2500e-01,2.2746e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,2,6.2092e-01,1.3352e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,3,6.8775e-01,8.8909e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,4,7.1975e-01,7.7269e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,5,7.3833e-01,7.0256e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,6,7.5367e-01,6.5149e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,7,7.6783e-01,6.1247e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,8,7.7867e-01,5.8188e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,9,7.8708e-01,5.5694e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,10,7.9692e-01,5.3564e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,11,8.0367e-01,5.1748e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,12,8.0842e-01,5.0178e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,13,8.1408e-01,4.8762e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,14,8.1983e-01,4.7513e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,417,15,8.2608e-01,4.6342e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,1,5.6592e-01,2.2661e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,2,6.6125e-01,1.2747e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,3,7.2175e-01,8.2988e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,4,7.4933e-01,7.1591e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,5,7.6758e-01,6.4687e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,6,7.8075e-01,5.9951e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,7,7.9025e-01,5.6634e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,8,7.9617e-01,5.4088e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,9,8.0350e-01,5.1933e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,10,8.1217e-01,5.0046e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,11,8.2083e-01,4.8365e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,12,8.2658e-01,4.6840e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,13,8.3050e-01,4.5449e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,14,8.3667e-01,4.4230e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,418,15,8.3825e-01,4.3100e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,1,5.2883e-01,2.2567e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,2,6.2617e-01,1.2979e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,3,6.9208e-01,8.9024e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,4,7.1883e-01,7.6211e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,5,7.3900e-01,6.8957e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,6,7.5900e-01,6.3989e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,7,7.7275e-01,6.0272e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,8,7.8475e-01,5.7290e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,9,7.9558e-01,5.4786e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,10,8.0475e-01,5.2558e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,11,8.1242e-01,5.0618e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,12,8.1867e-01,4.8918e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,13,8.2200e-01,4.7365e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,14,8.2733e-01,4.5959e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,419,15,8.3133e-01,4.4731e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,1,4.4283e-01,2.2518e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,2,6.4675e-01,1.2225e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,3,7.0042e-01,8.4205e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,4,7.2733e-01,7.4391e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,5,7.4575e-01,6.8627e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,6,7.5750e-01,6.4456e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,7,7.6858e-01,6.1285e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,8,7.7575e-01,5.8706e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,9,7.8283e-01,5.6524e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,10,7.8858e-01,5.4617e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,11,7.9267e-01,5.2923e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,12,8.0000e-01,5.1459e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,13,8.0492e-01,5.0105e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,14,8.1192e-01,4.8859e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,420,15,8.1475e-01,4.7728e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,1,4.7192e-01,2.2661e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,2,6.6658e-01,1.3061e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,3,7.1775e-01,8.1851e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,4,7.4417e-01,7.2292e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,5,7.6258e-01,6.6916e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,6,7.7550e-01,6.2859e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,7,7.8592e-01,5.9570e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,8,7.9600e-01,5.6812e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,9,8.0750e-01,5.4470e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,10,8.1458e-01,5.2427e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,421,11,8.1817e-01,5.0671e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
