id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,316,1,9.3179e-01,4.8078e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,2,9.3687e-01,2.5420e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,3,9.4630e-01,1.9916e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,4,9.4920e-01,1.8361e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,5,9.4848e-01,1.7517e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,6,9.5138e-01,1.6838e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,7,9.5065e-01,1.6188e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,8,9.5138e-01,1.5623e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,9,9.5428e-01,1.5158e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,10,9.5501e-01,1.4738e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,11,9.5646e-01,1.4355e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,12,9.5864e-01,1.4035e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,13,9.6009e-01,1.3740e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,14,9.6081e-01,1.3501e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
1,316,15,9.6081e-01,1.3258e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,1,9.3324e-01,4.7793e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,2,9.3832e-01,2.7848e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,3,9.5065e-01,2.1359e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,4,9.5501e-01,1.8775e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,5,9.5864e-01,1.7389e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,6,9.6226e-01,1.6475e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,7,9.6226e-01,1.5849e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,8,9.6226e-01,1.5321e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,9,9.6154e-01,1.4898e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,10,9.6081e-01,1.4527e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,11,9.6154e-01,1.4184e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,12,9.6372e-01,1.3877e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,13,9.6299e-01,1.3613e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,14,9.6226e-01,1.3355e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
2,317,15,9.6372e-01,1.3128e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,1,9.3324e-01,4.2724e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,2,9.4049e-01,2.5767e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,3,9.4848e-01,2.0441e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,4,9.5210e-01,1.8798e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,5,9.5501e-01,1.7972e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,6,9.5428e-01,1.7376e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,7,9.5501e-01,1.6823e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,8,9.5718e-01,1.6309e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,9,9.5936e-01,1.5823e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,10,9.6009e-01,1.5393e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,11,9.6154e-01,1.4972e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
3,318,12,9.6372e-01,1.4616e-01,1.1009e-01,3.3894e-01,5.6328e+05,5512
