id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,316,1,9.0707e-01,8.5970e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,2,9.5191e-01,2.9354e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,3,9.5783e-01,1.8809e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,4,9.5998e-01,1.5944e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,5,9.6161e-01,1.4686e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,6,9.6385e-01,1.3896e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,7,9.6469e-01,1.3300e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,8,9.6525e-01,1.2809e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,9,9.6610e-01,1.2417e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,10,9.6623e-01,1.2091e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,11,9.6690e-01,1.1808e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,12,9.6785e-01,1.1556e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,13,9.6828e-01,1.1328e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,14,9.6849e-01,1.1133e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,316,15,9.6860e-01,1.0956e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,1,9.0777e-01,7.2704e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,2,9.3962e-01,2.8648e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,3,9.5136e-01,1.9996e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,4,9.5692e-01,1.6899e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,5,9.6214e-01,1.5303e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,6,9.6384e-01,1.4297e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,7,9.6521e-01,1.3589e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,8,9.6562e-01,1.3049e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,9,9.6559e-01,1.2621e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,10,9.6609e-01,1.2270e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,11,9.6733e-01,1.1976e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,12,9.6785e-01,1.1720e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,317,13,9.6804e-01,1.1475e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
