id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,356,1,9.1155e-01,5.5073e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,2,9.1641e-01,2.9733e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,3,9.2240e-01,2.4663e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,4,9.2411e-01,2.2235e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,5,9.2753e-01,2.0758e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,6,9.3096e-01,1.9638e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,7,9.3466e-01,1.8765e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,8,9.3666e-01,1.8030e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,9,9.3923e-01,1.7405e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,10,9.4123e-01,1.6833e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,11,9.4151e-01,1.6339e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,12,9.4351e-01,1.5866e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,13,9.4408e-01,1.5471e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,14,9.4294e-01,1.5110e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
1,356,15,9.4465e-01,1.4772e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,1,9.2439e-01,5.5822e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,2,9.3324e-01,2.8591e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,3,9.3723e-01,2.2704e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,4,9.3894e-01,2.0376e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,5,9.4009e-01,1.9131e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,6,9.4294e-01,1.8281e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,7,9.4522e-01,1.7643e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,8,9.4522e-01,1.7096e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,9,9.4579e-01,1.6600e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,10,9.4636e-01,1.6198e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
2,357,11,9.4693e-01,1.5776e-01,8.1754e-02,8.6029e-02,1.8416e+05,14019
