id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,356,1,9.0750e-01,7.6161e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,2,9.4801e-01,2.6075e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,3,9.5424e-01,1.9421e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,4,9.5852e-01,1.7377e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,5,9.6054e-01,1.6259e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,6,9.6274e-01,1.5511e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,7,9.6407e-01,1.4932e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,8,9.6473e-01,1.4503e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,9,9.6573e-01,1.4122e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,10,9.6609e-01,1.3811e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,11,9.6592e-01,1.3522e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,12,9.6633e-01,1.3268e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,13,9.6675e-01,1.3038e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,14,9.6739e-01,1.2842e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,356,15,9.6874e-01,1.2654e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,1,8.9951e-01,8.1979e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,2,9.5104e-01,2.7096e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,3,9.5664e-01,1.8774e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,4,9.5869e-01,1.6289e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,5,9.5928e-01,1.5156e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,6,9.6121e-01,1.4514e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,7,9.6189e-01,1.4039e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,8,9.6261e-01,1.3691e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,9,9.6299e-01,1.3393e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,10,9.6329e-01,1.3139e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,11,9.6422e-01,1.2925e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,12,9.6420e-01,1.2702e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,13,9.6504e-01,1.2514e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,14,9.6518e-01,1.2342e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,357,15,9.6541e-01,1.2169e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,1,8.9013e-01,8.8109e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,2,9.4692e-01,3.1841e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,3,9.5575e-01,2.2208e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,4,9.5820e-01,1.8598e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,5,9.6125e-01,1.6935e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,6,9.6296e-01,1.5894e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,7,9.6320e-01,1.5090e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,8,9.6443e-01,1.4477e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,9,9.6305e-01,1.3982e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,10,9.6311e-01,1.3569e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,11,9.6380e-01,1.3222e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,12,9.6329e-01,1.2904e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,13,9.6413e-01,1.2624e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,14,9.6429e-01,1.2382e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
3,358,15,9.6389e-01,1.2166e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,1,9.0695e-01,8.0980e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,2,9.4205e-01,3.1313e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,3,9.5318e-01,2.1038e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,4,9.5684e-01,1.7569e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,5,9.5908e-01,1.6066e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,6,9.6141e-01,1.5142e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,7,9.6195e-01,1.4483e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,8,9.6355e-01,1.3932e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,9,9.6439e-01,1.3490e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,10,9.6501e-01,1.3121e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,11,9.6571e-01,1.2808e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,12,9.6656e-01,1.2544e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,13,9.6762e-01,1.2304e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,14,9.6794e-01,1.2096e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
4,359,15,9.6829e-01,1.1899e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,1,9.0007e-01,9.0733e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,2,9.5429e-01,2.8687e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,3,9.5770e-01,2.0433e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,4,9.6105e-01,1.7859e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,5,9.6270e-01,1.6520e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,6,9.6389e-01,1.5660e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,7,9.6514e-01,1.5003e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,8,9.6645e-01,1.4468e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,9,9.6703e-01,1.4005e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,10,9.6784e-01,1.3598e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,11,9.6854e-01,1.3248e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,12,9.6893e-01,1.2939e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,13,9.6946e-01,1.2670e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
5,360,14,9.7029e-01,1.2422e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
