id_esperimento,seed,round,p_profile,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,396,1,0.25,6.7280e-01,1.6188e+00,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,2,0.25,8.2299e-01,9.9140e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,3,0.25,8.8659e-01,6.0467e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,4,0.25,8.9655e-01,4.5779e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,5,0.25,9.0268e-01,3.8417e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,6,0.25,8.9885e-01,3.4162e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,7,0.25,9.1188e-01,3.1332e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,8,0.25,9.2567e-01,2.9069e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,9,0.25,9.2797e-01,2.7148e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,10,0.25,9.2874e-01,2.5552e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,11,0.25,9.3410e-01,2.4171e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,12,0.25,9.3716e-01,2.3031e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,13,0.25,9.3716e-01,2.2073e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,14,0.25,9.3563e-01,2.1203e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
1,396,15,0.25,9.3640e-01,2.0419e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,1,0.25,6.5211e-01,1.6162e+00,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,2,0.25,6.5211e-01,1.2792e+00,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,3,0.25,7.8391e-01,8.7020e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,4,0.25,8.4828e-01,5.7765e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,5,0.25,8.8429e-01,4.5970e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,6,0.25,8.9349e-01,3.9844e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,7,0.25,8.9502e-01,3.6409e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,8,0.25,8.9885e-01,3.4280e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,9,0.25,9.0421e-01,3.2623e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,10,0.25,9.2261e-01,3.1036e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,11,0.25,9.2337e-01,2.9436e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,12,0.25,9.2490e-01,2.8096e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,13,0.25,9.2567e-01,2.6922e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,14,0.25,9.2644e-01,2.6043e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
2,397,15,0.25,9.2797e-01,2.5213e-01,8.5005e-03,2.2514e-02,4.7120e+04,5217
3,398,1,0.25,6.4751e-01,1.5964e+00,8.5005e-03,2.2514e-02,4.7120e+04,5217
