id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,396,1,8.5858e-01,9.9710e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,2,9.1245e-01,5.0519e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,3,9.3635e-01,3.4340e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,4,9.4620e-01,2.6260e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,5,9.5155e-01,2.1960e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,6,9.5375e-01,1.9777e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,7,9.5565e-01,1.8427e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,8,9.5834e-01,1.7443e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,9,9.5901e-01,1.6680e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,10,9.6029e-01,1.6029e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,11,9.6261e-01,1.5487e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,12,9.6353e-01,1.4994e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,13,9.6375e-01,1.4586e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,14,9.6348e-01,1.4177e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
1,396,15,9.6385e-01,1.3820e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,1,8.4003e-01,1.3435e+00,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,2,8.8734e-01,6.5513e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,3,9.2907e-01,4.1752e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,4,9.4165e-01,3.0135e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,5,9.4772e-01,2.4389e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,6,9.4991e-01,2.1564e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,7,9.5210e-01,1.9990e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,8,9.5287e-01,1.8969e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,9,9.5400e-01,1.8198e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,10,9.5673e-01,1.7549e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,11,9.5622e-01,1.6975e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,12,9.5689e-01,1.6502e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,13,9.5814e-01,1.6088e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,14,9.5897e-01,1.5735e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
2,397,15,9.5884e-01,1.5435e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,1,8.5421e-01,1.2543e+00,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,2,9.2199e-01,4.2724e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,3,9.4392e-01,2.3637e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,4,9.4899e-01,1.9832e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,5,9.5097e-01,1.8409e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,6,9.5214e-01,1.7509e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,7,9.5343e-01,1.6815e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,8,9.5438e-01,1.6244e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,9,9.5558e-01,1.5784e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,10,9.5665e-01,1.5380e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,11,9.5627e-01,1.5028e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,12,9.5752e-01,1.4705e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,13,9.5805e-01,1.4424e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,14,9.5875e-01,1.4148e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
3,398,15,9.5919e-01,1.3890e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
4,399,1,8.5709e-01,1.2403e+00,3.5979e-02,1.3891e-01,2.4532e+05,4799
4,399,2,9.0867e-01,5.0219e-01,3.5979e-02,1.3891e-01,2.4532e+05,4799
