id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,436,1,9.2090e-01,1.0495e+00,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,2,9.3324e-01,2.8447e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,3,9.4340e-01,2.0746e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,4,9.4557e-01,1.9054e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,5,9.4920e-01,1.8247e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,6,9.4920e-01,1.7713e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,7,9.4848e-01,1.7122e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,8,9.4993e-01,1.6614e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,9,9.4920e-01,1.6193e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,10,9.5210e-01,1.5831e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,11,9.5138e-01,1.5503e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,12,9.5356e-01,1.5173e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,13,9.5283e-01,1.4857e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,14,9.5356e-01,1.4641e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
1,436,15,9.5428e-01,1.4352e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,1,3.9405e-01,1.3265e+00,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,2,9.2235e-01,3.0154e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,3,9.2888e-01,2.1627e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,4,9.2961e-01,1.9977e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,5,9.3251e-01,1.9120e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,6,9.3324e-01,1.8330e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,7,9.3469e-01,1.7779e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,8,9.3687e-01,1.7281e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,9,9.3541e-01,1.6816e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,10,9.4049e-01,1.6405e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,11,9.3759e-01,1.5924e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,12,9.4194e-01,1.5497e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,13,9.4485e-01,1.5087e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,14,9.4702e-01,1.4806e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
2,437,15,9.4848e-01,1.4497e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,1,7.4020e-01,1.5163e+00,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,2,9.4775e-01,3.0155e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,3,9.5428e-01,2.0358e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,4,9.5646e-01,1.8707e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,5,9.5646e-01,1.7836e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,6,9.5791e-01,1.7140e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,7,9.6081e-01,1.6647e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,8,9.6154e-01,1.6254e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,9,9.6517e-01,1.5894e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,10,9.6517e-01,1.5601e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
3,438,11,9.6589e-01,1.5308e-01,9.7381e-02,8.4736e-02,5.6328e+05,5512
