id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,436,1,7.8837e-01,1.6451e+00,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,2,9.4162e-01,3.4946e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,3,9.5421e-01,1.9363e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,4,9.5701e-01,1.6347e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,5,9.5931e-01,1.5143e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,6,9.5997e-01,1.4456e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,7,9.6087e-01,1.3941e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,8,9.6294e-01,1.3524e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,9,9.6366e-01,1.3161e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,10,9.6489e-01,1.2829e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,11,9.6585e-01,1.2562e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,12,9.6635e-01,1.2328e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,13,9.6689e-01,1.2093e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,14,9.6704e-01,1.1937e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,436,15,9.6768e-01,1.1721e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,1,7.4694e-01,1.6606e+00,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,2,9.3172e-01,3.2817e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,3,9.5049e-01,1.9067e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,4,9.5457e-01,1.6553e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,5,9.5723e-01,1.5409e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,6,9.5823e-01,1.4611e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,7,9.5932e-01,1.4009e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,8,9.6024e-01,1.3517e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,9,9.6077e-01,1.3101e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,10,9.6188e-01,1.2745e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,11,9.6287e-01,1.2438e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,12,9.6396e-01,1.2144e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,13,9.6466e-01,1.1874e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,14,9.6453e-01,1.1654e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,437,15,9.6542e-01,1.1419e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,1,8.0685e-01,1.8183e+00,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,2,9.2827e-01,3.7149e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,3,9.5973e-01,1.8470e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,4,9.6109e-01,1.5682e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,5,9.6238e-01,1.4500e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,6,9.6313e-01,1.3756e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,7,9.6383e-01,1.3278e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,8,9.6435e-01,1.2854e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,9,9.6586e-01,1.2503e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,10,9.6588e-01,1.2226e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,11,9.6603e-01,1.1952e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,12,9.6681e-01,1.1750e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,13,9.6734e-01,1.1551e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,14,9.6827e-01,1.1369e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
3,438,15,9.6829e-01,1.1183e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,1,8.7295e-01,1.3723e+00,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,2,9.5068e-01,3.0452e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,3,9.5394e-01,1.9803e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,4,9.5513e-01,1.6972e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,5,9.5822e-01,1.5631e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,6,9.5906e-01,1.4786e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,7,9.6176e-01,1.4176e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,8,9.6293e-01,1.3614e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,9,9.6405e-01,1.3186e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,10,9.6440e-01,1.2796e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,11,9.6536e-01,1.2448e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,12,9.6599e-01,1.2158e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,13,9.6657e-01,1.1892e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,14,9.6612e-01,1.1631e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
4,439,15,9.6663e-01,1.1374e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,1,8.4530e-01,1.4737e+00,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,2,9.4082e-01,3.1103e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,3,9.5141e-01,2.0159e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,4,9.5814e-01,1.7240e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,5,9.6092e-01,1.5791e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,6,9.6227e-01,1.4881e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,7,9.6215e-01,1.4230e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,8,9.6245e-01,1.3718e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,9,9.6402e-01,1.3291e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,10,9.6607e-01,1.2964e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,11,9.6496e-01,1.2700e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,12,9.6695e-01,1.2406e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,13,9.6601e-01,1.2165e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,14,9.6598e-01,1.1963e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
5,440,15,9.6643e-01,1.1776e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,1,8.0209e-01,1.6311e+00,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,2,9.4820e-01,3.2212e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,3,9.5594e-01,1.9726e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,4,9.5880e-01,1.7038e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,5,9.6046e-01,1.5825e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,6,9.6158e-01,1.4933e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,7,9.6288e-01,1.4294e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,8,9.6364e-01,1.3745e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,9,9.6430e-01,1.3284e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
6,441,10,9.6448e-01,1.2889e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
