id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,516,1,7.4076e-01,1.2385e+00,1.1365e+00,3.7267e-01,5.7202e+05,65142
1,516,2,7.6133e-01,8.2588e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
1,516,3,7.7441e-01,7.2245e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
1,516,4,7.8104e-01,6.8399e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
1,516,5,7.9007e-01,6.6323e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
1,516,6,7.9842e-01,6.4066e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
1,516,7,7.9393e-01,6.3509e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
1,516,8,7.9940e-01,6.2781e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
1,516,9,8.0671e-01,6.1948e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
1,516,10,7.9639e-01,6.1169e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,1,7.4180e-01,1.2832e+00,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,2,7.5365e-01,8.6042e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,3,7.6084e-01,7.4661e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,4,7.6624e-01,6.9696e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,5,7.8233e-01,6.7317e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,6,7.8337e-01,6.5542e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,7,7.7981e-01,6.3974e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,8,7.6243e-01,6.3066e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,9,7.8816e-01,6.2146e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
2,517,10,7.9043e-01,6.1834e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,1,7.5120e-01,1.2605e+00,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,2,7.5918e-01,8.1686e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,3,7.7490e-01,7.1902e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,4,7.8835e-01,6.7996e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,5,7.6790e-01,6.5440e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,6,7.9314e-01,6.4278e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,7,7.9332e-01,6.2761e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,8,8.0026e-01,6.1515e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,9,7.9749e-01,6.1273e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
3,518,10,7.9013e-01,6.0224e-01,1.1365e+00,3.7267e-01,5.7202e+05,65142
