id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,516,1,7.3577e-01,1.2421e+00,1.1365e+00,3.7267e-01,5.7202e+05,65141
1,516,2,7.5901e-01,8.1973e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
1,516,3,7.7776e-01,7.1664e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
1,516,4,7.8210e-01,6.7748e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
1,516,5,7.8625e-01,6.5553e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
1,516,6,7.9148e-01,6.4169e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
1,516,7,7.9515e-01,6.2959e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
1,516,8,7.9388e-01,6.2433e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
1,516,9,7.9639e-01,6.1572e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
1,516,10,7.9431e-01,6.1143e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,1,7.3231e-01,1.2786e+00,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,2,7.5818e-01,8.5338e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,3,7.6754e-01,7.3486e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,4,7.7410e-01,6.9095e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,5,7.7934e-01,6.6842e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,6,7.8819e-01,6.4885e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,7,7.8356e-01,6.3475e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,8,7.8378e-01,6.2811e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,9,7.8817e-01,6.1981e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
2,517,10,7.9166e-01,6.1327e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,1,7.4404e-01,1.2559e+00,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,2,7.5960e-01,8.2011e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,3,7.7918e-01,7.1621e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,4,7.8295e-01,6.7680e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,5,7.8842e-01,6.5192e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,6,7.9282e-01,6.3778e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,7,7.8769e-01,6.2536e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,8,7.9632e-01,6.1542e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,9,7.9382e-01,6.0846e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
3,518,10,7.9470e-01,6.0114e-01,1.1365e+00,3.7267e-01,5.7202e+05,65141
