id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,519,1,6.6873e-01,1.4853e+00,3.7314e-01,1.0229e-01,1.8832e+05,65142
1,519,2,7.1036e-01,1.0602e+00,3.7314e-01,1.0229e-01,1.8832e+05,65142
1,519,3,7.0858e-01,9.6258e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
1,519,4,7.0901e-01,9.3392e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
1,519,5,6.7641e-01,9.2365e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
1,519,6,7.2522e-01,9.1159e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
1,519,7,7.0582e-01,9.0383e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
1,519,8,7.2731e-01,8.8755e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
1,519,9,7.3775e-01,8.7701e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
1,519,10,7.3265e-01,8.8511e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,1,6.3140e-01,1.7042e+00,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,2,7.2068e-01,1.0753e+00,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,3,7.0766e-01,9.5429e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,4,7.3161e-01,9.1016e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,5,7.1172e-01,8.9461e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,6,7.2768e-01,8.8356e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,7,7.4696e-01,8.7383e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,8,7.3689e-01,8.6116e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,9,7.5052e-01,8.6478e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
2,520,10,7.3916e-01,8.4538e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,1,6.6456e-01,1.6257e+00,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,2,6.6302e-01,1.1603e+00,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,3,6.9833e-01,1.0246e+00,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,4,7.1546e-01,9.8450e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,5,7.0957e-01,9.6343e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,6,6.7991e-01,9.4926e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,7,6.7101e-01,9.4117e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,8,7.2136e-01,9.2878e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,9,6.9452e-01,9.1915e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
3,521,10,7.2056e-01,9.2074e-01,3.7314e-01,1.0229e-01,1.8832e+05,65142
