id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,519,1,6.7837e-01,1.4920e+00,3.7314e-01,1.0229e-01,1.8832e+05,65141
1,519,2,7.0885e-01,1.0555e+00,3.7314e-01,1.0229e-01,1.8832e+05,65141
1,519,3,7.1377e-01,9.6216e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
1,519,4,7.1730e-01,9.3498e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
1,519,5,7.2133e-01,9.1611e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
1,519,6,7.2497e-01,9.0204e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
1,519,7,7.1979e-01,8.9478e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
1,519,8,7.3278e-01,8.8678e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
1,519,9,7.3738e-01,8.7882e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
1,519,10,7.3340e-01,8.7776e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,1,6.7401e-01,1.6259e+00,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,2,7.0403e-01,1.0698e+00,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,3,7.1543e-01,9.4433e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,4,7.2323e-01,9.1058e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,5,7.2911e-01,8.9094e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,6,7.2317e-01,8.7832e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,7,7.3229e-01,8.6819e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,8,7.3765e-01,8.5576e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,9,7.4013e-01,8.5103e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
2,520,10,7.3941e-01,8.4540e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,1,6.5103e-01,1.6105e+00,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,2,6.8116e-01,1.1735e+00,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,3,6.8630e-01,1.0306e+00,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,4,7.0794e-01,9.8975e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,5,7.1260e-01,9.6850e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,6,7.0831e-01,9.5387e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,7,7.0841e-01,9.4563e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,8,7.2368e-01,9.3607e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,9,7.1047e-01,9.3113e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
3,521,10,7.2236e-01,9.2857e-01,3.7314e-01,1.0229e-01,1.8832e+05,65141
