id_esperimento,seed,round,p_profile,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,522,1,0.75,6.9882e-01,1.4990e+00,6.4110e-01,2.1658e-01,3.2251e+05,65142
1,522,2,0.75,7.3714e-01,1.0725e+00,6.4110e-01,2.1658e-01,3.2251e+05,65142
1,522,3,0.75,7.5863e-01,9.3464e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
1,522,4,0.75,7.6544e-01,8.8248e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
1,522,5,0.75,7.7484e-01,8.5145e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
1,522,6,0.75,7.5371e-01,8.3211e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
1,522,7,0.75,7.6194e-01,8.1464e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
1,522,8,0.75,7.6102e-01,8.0923e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
1,522,9,0.75,7.5672e-01,7.9409e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
1,522,10,0.75,7.6943e-01,7.9918e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142

2,523,1,0.75,7.0502e-01,1.4427e+00,6.4110e-01,2.1658e-01,3.2251e+05,65142
2,523,2,0.75,7.3327e-01,1.0367e+00,6.4110e-01,2.1658e-01,3.2251e+05,65142
2,523,3,0.75,7.3572e-01,8.9070e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
2,523,4,0.75,7.4125e-01,8.3091e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
2,523,5,0.75,7.4156e-01,8.0325e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
2,523,6,0.75,7.4592e-01,7.8284e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
2,523,7,0.75,7.4745e-01,7.7153e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
2,523,8,0.75,7.5279e-01,7.6008e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
2,523,9,0.75,7.2977e-01,7.5447e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
2,523,10,0.75,7.4260e-01,7.4300e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,1,0.75,7.0208e-01,1.4787e+00,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,2,0.75,7.1509e-01,1.0398e+00,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,3,0.75,7.2872e-01,9.0176e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,4,0.75,7.2608e-01,8.4645e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,5,0.75,7.4033e-01,8.2846e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,6,0.75,7.4094e-01,8.0834e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,7,0.75,7.4076e-01,7.9925e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,8,0.75,7.5028e-01,7.8356e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,9,0.75,7.4555e-01,7.8049e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
3,524,10,0.75,7.4893e-01,7.7216e-01,6.4110e-01,2.1658e-01,3.2251e+05,65142
