id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,456,1,4.7619e-02,4.0480e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,2,9.5238e-02,3.7918e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,3,4.7619e-02,3.7034e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,4,4.7619e-02,3.6714e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,5,4.7619e-02,3.6486e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,6,4.7619e-02,3.6236e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,7,5.9524e-02,3.5851e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,8,1.4286e-01,3.5199e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,9,1.4286e-01,3.4097e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,10,1.7857e-01,3.2128e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,11,2.2619e-01,2.9021e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,12,2.7381e-01,2.6290e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,13,3.6905e-01,2.3263e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,14,4.7619e-01,2.0482e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,15,5.4762e-01,1.8286e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,16,5.3571e-01,1.6492e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,17,5.4762e-01,1.4770e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,18,5.5952e-01,1.3243e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,19,5.7143e-01,1.2002e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,20,6.1905e-01,1.0823e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,21,6.7857e-01,9.9597e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,22,6.7857e-01,8.9362e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,23,6.9048e-01,8.2231e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,24,7.0238e-01,7.8170e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,25,7.2619e-01,7.2311e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,26,6.9048e-01,6.6262e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,27,7.2619e-01,6.4516e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,28,7.1429e-01,5.8891e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,29,7.2619e-01,5.4528e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
1,456,30,7.5000e-01,5.3546e-01,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,1,7.1429e-02,4.0706e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,2,4.7619e-02,3.8515e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,3,4.7619e-02,3.7592e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,4,7.1429e-02,3.7282e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,5,7.1429e-02,3.7013e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,6,7.1429e-02,3.6551e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,7,1.0714e-01,3.5590e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,8,1.0714e-01,3.4124e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,9,1.6667e-01,3.1876e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,10,2.2619e-01,2.9110e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,11,3.3333e-01,2.6650e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,12,3.9286e-01,2.4656e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,13,4.4048e-01,2.2666e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,14,4.4048e-01,2.0936e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,15,5.0000e-01,1.8829e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,16,5.0000e-01,1.7121e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
2,457,17,5.9524e-01,1.5689e+00,2.4365e-02,3.7267e-01,5.7202e+05,334
