id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,456,1,5.9008e-02,4.0768e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,2,7.0366e-02,3.8388e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,3,6.6839e-02,3.7552e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,4,6.6839e-02,3.7285e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,5,6.6839e-02,3.7095e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,6,6.6839e-02,3.6901e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,7,6.9328e-02,3.6635e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,8,7.7514e-02,3.6186e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,9,1.0525e-01,3.5368e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,10,1.3957e-01,3.3801e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,11,2.0473e-01,3.1200e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,12,2.5314e-01,2.8776e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,13,3.0184e-01,2.6390e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,14,3.5644e-01,2.4105e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,15,3.9226e-01,2.2282e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,16,4.4590e-01,2.0743e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,17,4.6379e-01,1.9356e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,18,4.8896e-01,1.8040e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,19,5.1074e-01,1.6868e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,20,5.5280e-01,1.5809e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,21,5.7845e-01,1.5015e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,22,5.8180e-01,1.4193e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,23,6.0619e-01,1.3397e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,24,6.0191e-01,1.2692e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
1,456,25,6.1073e-01,1.2069e+00,2.3860e-02,3.7267e-01,5.7202e+05,304
