id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,471,1,1.1111e-01,4.0970e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,2,6.3492e-02,4.0193e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,3,7.9365e-02,3.8152e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,4,7.9365e-02,3.7279e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,5,7.9365e-02,3.6933e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,6,7.9365e-02,3.6696e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,7,7.9365e-02,3.6447e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,8,7.9365e-02,3.6077e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,9,7.9365e-02,3.5386e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,10,6.3492e-02,3.4595e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,11,1.2698e-01,3.3582e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,12,2.2222e-01,3.1731e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,13,2.5397e-01,2.9323e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,14,2.6984e-01,2.7480e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,15,2.5397e-01,2.6044e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,16,2.6984e-01,2.4986e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,17,2.5397e-01,2.3732e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,18,2.5397e-01,2.2659e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,19,2.8571e-01,2.1265e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,20,3.1746e-01,2.0461e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,21,3.8095e-01,1.9580e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,22,3.4921e-01,1.8426e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,23,3.3333e-01,1.7685e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,24,2.3810e-01,1.7887e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,25,2.8571e-01,1.7607e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,26,3.8095e-01,1.6677e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,27,3.4921e-01,1.6178e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,28,3.8095e-01,1.6061e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,29,4.2857e-01,1.5277e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
1,471,30,3.4921e-01,1.4704e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,1,3.1746e-02,4.0796e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,2,9.5238e-02,3.8991e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,3,9.5238e-02,3.7628e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,4,9.5238e-02,3.7228e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,5,9.5238e-02,3.7048e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,6,9.5238e-02,3.6925e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,7,9.5238e-02,3.6819e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,8,9.5238e-02,3.6720e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,9,9.5238e-02,3.6602e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,10,9.5238e-02,3.6465e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,11,9.5238e-02,3.6260e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,12,9.5238e-02,3.5903e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
2,472,13,9.5238e-02,3.5345e+00,6.5384e-03,1.0229e-01,1.8832e+05,252
