id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,471,1,8.3050e-02,4.0933e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,2,6.5753e-02,4.0223e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,3,5.3527e-02,3.8322e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,4,5.2194e-02,3.7472e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,5,5.7527e-02,3.7228e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,6,7.3478e-02,3.7074e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,7,6.7349e-02,3.6923e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,8,6.7497e-02,3.6709e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,9,6.9861e-02,3.6264e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,10,8.7376e-02,3.5448e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,11,1.0229e-01,3.4104e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,12,1.5662e-01,3.2151e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,13,2.1146e-01,2.9750e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,14,2.4000e-01,2.7809e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,15,2.6220e-01,2.6394e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,16,3.1917e-01,2.5147e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,17,3.4139e-01,2.3984e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,18,3.5830e-01,2.2789e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,19,3.9261e-01,2.1668e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
1,471,20,4.0064e-01,2.0638e+00,6.8356e-03,1.0229e-01,1.8832e+05,304
