id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,486,1,8.9885e-02,4.0988e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,2,7.6507e-02,4.0353e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,3,7.5192e-02,3.9562e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,4,7.6723e-02,3.8983e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,5,7.6534e-02,3.8177e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,6,7.1007e-02,3.7553e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,7,7.1007e-02,3.7357e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,8,7.1007e-02,3.7246e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,9,7.1007e-02,3.7161e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,10,7.1007e-02,3.7095e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,11,7.6204e-02,3.7031e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,12,7.8638e-02,3.6973e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,13,7.6007e-02,3.6908e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,14,7.6007e-02,3.6830e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,15,7.2191e-02,3.6727e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,16,7.8524e-02,3.6576e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,17,9.6501e-02,3.6353e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,18,1.0558e-01,3.5978e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,19,1.2284e-01,3.5362e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,20,1.4368e-01,3.4449e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,21,1.4917e-01,3.3378e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,22,1.6266e-01,3.2355e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
1,486,23,1.8551e-01,3.1412e+00,1.0237e-02,1.5847e-01,2.5034e+05,304
