id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,501,1,2.5974e-02,4.0953e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,2,3.8961e-02,4.0236e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,3,7.7922e-02,3.9331e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,4,3.8961e-02,3.8114e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,5,7.7922e-02,3.7559e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,6,3.8961e-02,3.7787e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,7,3.8961e-02,3.7392e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,8,3.8961e-02,3.7371e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,9,3.8961e-02,3.7449e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,10,3.8961e-02,3.7377e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,11,3.8961e-02,3.7226e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,12,3.8961e-02,3.6998e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,13,7.7922e-02,3.6764e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,14,7.7922e-02,3.6443e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,15,7.7922e-02,3.6098e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,16,9.0909e-02,3.5599e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,17,1.0390e-01,3.4964e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,18,1.4286e-01,3.3569e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,19,1.4286e-01,3.1891e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,20,1.0390e-01,3.0195e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,21,1.8182e-01,2.8678e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,22,2.2078e-01,2.7223e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,23,1.5584e-01,2.5603e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,24,2.3377e-01,2.4048e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,25,2.5974e-01,2.2522e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,26,2.8571e-01,2.1513e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,27,3.8961e-01,2.0450e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,28,4.8052e-01,1.9220e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,29,4.6753e-01,1.8333e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
1,501,30,4.8052e-01,1.7413e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,1,1.2987e-01,4.1018e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,2,3.8961e-02,4.0236e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,3,1.2987e-02,3.9136e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,4,1.2987e-02,3.7979e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,5,1.2987e-01,3.8063e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,6,1.2987e-01,3.7578e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,7,1.2987e-01,3.7511e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,8,7.7922e-02,3.7326e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,9,1.2987e-02,4.0264e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,10,1.4286e-01,3.7140e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,11,9.0909e-02,3.6633e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,12,1.6883e-01,3.5700e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,13,2.4675e-01,3.4379e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,14,2.3377e-01,3.2204e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,15,2.4675e-01,2.9696e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,16,2.7273e-01,2.7428e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
2,502,17,2.7273e-01,2.5871e+00,9.8923e-03,9.3166e-02,5.7202e+05,305
