id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,501,1,3.9128e-02,4.0988e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,2,4.2285e-02,4.0301e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,3,4.5743e-02,3.9364e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,4,4.1132e-02,3.8012e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,5,6.0030e-02,3.7425e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,6,4.7515e-02,3.7516e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,7,4.8566e-02,3.7374e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,8,5.5972e-02,3.7296e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,9,4.5532e-02,3.7223e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,10,4.4619e-02,3.7188e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,11,4.4619e-02,3.7056e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,12,5.2230e-02,3.6860e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,13,6.5299e-02,3.6612e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,14,5.7644e-02,3.6201e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,15,6.3013e-02,3.5792e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,16,7.2735e-02,3.5172e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,17,1.1569e-01,3.4327e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,18,1.4106e-01,3.2909e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,19,1.6168e-01,3.0977e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
1,501,20,1.9904e-01,2.8923e+00,9.8854e-03,9.3166e-02,5.7202e+05,304
