id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,123,1,8.6833e-01,1.2409e+00,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,2,9.1917e-01,3.1263e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,3,9.3667e-01,1.8899e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,4,9.5000e-01,1.4836e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,5,9.5917e-01,1.2953e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,6,9.6750e-01,1.1613e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,7,9.6583e-01,1.0751e-01,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,8,9.7500e-01,9.6748e-02,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,9,9.7750e-01,8.8255e-02,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,10,9.8083e-01,8.1738e-02,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,11,9.8083e-01,6.9959e-02,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,12,9.7917e-01,6.6026e-02,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,13,9.7917e-01,5.9208e-02,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,14,9.8000e-01,5.8036e-02,9.8059e-02,3.3894e-01,5.6328e+05,4800
1,123,15,9.8083e-01,5.3009e-02,9.8059e-02,3.3894e-01,5.6328e+05,4800
