id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,172,1,8.4833e-01,1.6386e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,2,9.1167e-01,3.4838e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,3,9.2000e-01,2.2078e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,4,9.3167e-01,1.7524e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,5,9.4000e-01,1.4569e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,6,9.4083e-01,1.3629e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,7,9.4667e-01,1.2403e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,8,9.5667e-01,1.1711e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,9,9.5750e-01,1.0641e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,10,9.6750e-01,1.0011e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,11,9.6250e-01,9.2962e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,12,9.6750e-01,8.9291e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,13,9.6833e-01,8.1474e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,14,9.6250e-01,7.5933e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,15,9.6333e-01,7.5255e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,1,8.9500e-01,1.3816e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,2,9.1500e-01,3.4044e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,3,9.3583e-01,2.3405e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,4,9.4250e-01,1.8777e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,5,9.5667e-01,1.5800e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,6,9.5500e-01,1.4271e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,7,9.6333e-01,1.2968e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,8,9.5833e-01,1.2136e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,9,9.6417e-01,1.0943e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,10,9.6750e-01,1.0303e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
