id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,172,1,8.2250e-01,1.6647e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,2,9.1600e-01,3.5324e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,3,9.2908e-01,2.2020e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,4,9.4650e-01,1.7091e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,5,9.5208e-01,1.4364e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,6,9.5400e-01,1.2768e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,7,9.5692e-01,1.1584e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,8,9.5842e-01,1.0619e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,9,9.5892e-01,9.8690e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,10,9.6267e-01,9.3705e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,11,9.6433e-01,8.8245e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,12,9.6708e-01,8.4354e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,13,9.6500e-01,7.9738e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,14,9.6833e-01,7.6010e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
1,172,15,9.6792e-01,7.1888e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,1,8.4942e-01,1.3993e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,2,9.0933e-01,3.4913e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,3,9.2825e-01,2.4174e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,4,9.3508e-01,1.9551e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,5,9.4750e-01,1.6820e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,6,9.4867e-01,1.4882e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,7,9.5050e-01,1.3356e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,8,9.5358e-01,1.2270e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,9,9.5675e-01,1.1309e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,10,9.5767e-01,1.0579e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,11,9.5858e-01,9.9942e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,12,9.5908e-01,9.4363e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,13,9.6025e-01,8.9951e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,14,9.6167e-01,8.5537e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
2,173,15,9.6158e-01,8.1058e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,1,8.3692e-01,1.4087e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,2,9.1808e-01,3.6896e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,3,9.3383e-01,2.3435e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,4,9.4092e-01,1.8459e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,5,9.4950e-01,1.5716e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,6,9.5483e-01,1.3712e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,7,9.5700e-01,1.2527e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,8,9.5850e-01,1.1486e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,9,9.5958e-01,1.0603e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,10,9.6083e-01,9.9079e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,11,9.6342e-01,9.3647e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,12,9.6608e-01,8.8664e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,13,9.6492e-01,8.4505e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,14,9.6475e-01,8.1210e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
3,174,15,9.6583e-01,7.7488e-02,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,175,1,7.9617e-01,1.6614e+00,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,175,2,9.1267e-01,3.8453e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,175,3,9.3150e-01,2.3968e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,175,4,9.4583e-01,1.8664e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
4,175,5,9.4925e-01,1.5937e-01,3.0820e-02,8.6029e-02,1.8416e+05,4800
