id_esperimento,seed,round,p_profile,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,218,1,0.50,5.2083e-01,2.1423e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,2,0.50,9.1083e-01,7.3001e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,3,0.50,9.3417e-01,4.2106e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,4,0.50,9.4917e-01,2.7136e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,5,0.50,9.6167e-01,1.9976e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,6,0.50,9.5917e-01,1.7659e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,7,0.50,9.6083e-01,1.6039e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,8,0.50,9.5917e-01,1.4619e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,9,0.50,9.5750e-01,1.3145e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,10,0.50,9.5750e-01,1.2377e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,11,0.50,9.6750e-01,1.1328e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,12,0.50,9.7000e-01,1.0895e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,13,0.50,9.6583e-01,1.0416e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,14,0.50,9.7000e-01,9.1307e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,15,0.50,9.7000e-01,8.6814e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,1,0.50,5.7417e-01,2.1758e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,2,0.50,8.5750e-01,8.1409e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,3,0.50,9.3250e-01,4.0286e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,4,0.50,9.4083e-01,2.5316e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,5,0.50,9.4750e-01,2.0228e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,6,0.50,9.4500e-01,1.7303e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,7,0.50,9.3917e-01,1.5679e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,8,0.50,9.4667e-01,1.4368e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,9,0.50,9.5250e-01,1.2768e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,10,0.50,9.5500e-01,1.2230e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,11,0.50,9.4833e-01,1.0998e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,12,0.50,9.6000e-01,1.0045e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,13,0.50,9.5500e-01,9.6369e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,14,0.50,9.5833e-01,9.2694e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,15,0.50,9.5000e-01,8.9343e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,1,0.50,2.4750e-01,2.2635e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,2,0.50,8.9167e-01,9.1549e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,3,0.50,9.1083e-01,3.9313e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,4,0.50,9.3000e-01,2.5304e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,5,0.50,9.3750e-01,1.9147e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,6,0.50,9.3667e-01,1.6182e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,7,0.50,9.3500e-01,1.5015e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,8,0.50,9.3500e-01,1.3959e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,9,0.50,9.3333e-01,1.2750e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,10,0.50,9.3500e-01,1.2510e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,11,0.50,9.4167e-01,1.1494e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,12,0.50,9.4583e-01,1.0273e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,13,0.50,9.4750e-01,9.5884e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,14,0.50,9.4333e-01,8.7890e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,15,0.50,9.4833e-01,8.7296e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,1,0.50,7.2000e-01,1.8806e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,2,0.50,8.7583e-01,6.7509e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,3,0.50,9.1000e-01,3.3160e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,4,0.50,9.1583e-01,2.2925e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,5,0.50,9.2833e-01,1.8409e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,6,0.50,9.3750e-01,1.6132e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,7,0.50,9.4083e-01,1.4283e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,8,0.50,9.3833e-01,1.3625e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,9,0.50,9.5583e-01,1.2183e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,10,0.50,9.6417e-01,1.1016e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,11,0.50,9.6417e-01,9.7771e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,12,0.50,9.5917e-01,9.2796e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,13,0.50,9.6750e-01,8.4527e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,14,0.50,9.6083e-01,8.1587e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,15,0.50,9.6250e-01,7.4708e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,1,0.50,1.8500e-01,2.2946e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,2,0.50,9.0417e-01,8.0447e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,3,0.50,9.2000e-01,3.3180e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,4,0.50,9.2167e-01,2.4061e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,5,0.50,9.2583e-01,1.9969e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,6,0.50,9.3417e-01,1.7172e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,7,0.50,9.4333e-01,1.5523e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,8,0.50,9.5083e-01,1.4428e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,9,0.50,9.5750e-01,1.3506e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,10,0.50,9.5250e-01,1.2972e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,11,0.50,9.5833e-01,1.2111e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,12,0.50,9.6417e-01,1.1662e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,13,0.50,9.6083e-01,1.1012e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,14,0.50,9.5833e-01,1.0750e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,15,0.50,9.6167e-01,1.0774e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,1,0.50,1.9333e-01,2.2975e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,2,0.50,8.2250e-01,1.1589e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,3,0.50,9.2083e-01,4.7269e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,4,0.50,9.3417e-01,2.9339e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,5,0.50,9.4667e-01,2.1897e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,6,0.50,9.3000e-01,1.9035e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,7,0.50,9.3333e-01,1.6562e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,8,0.50,9.4333e-01,1.5225e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,9,0.50,9.5083e-01,1.4035e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,10,0.50,9.5167e-01,1.3595e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,11,0.50,9.5750e-01,1.2790e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,12,0.50,9.5250e-01,1.2109e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,13,0.50,9.5750e-01,1.1600e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,14,0.50,9.6417e-01,1.1064e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
