id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,218,1,5.5817e-01,1.8622e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,2,6.6800e-01,1.1061e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,3,8.0125e-01,8.9035e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,4,9.1000e-01,4.5267e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,5,9.3167e-01,3.0143e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,6,9.3925e-01,2.4182e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,7,9.4375e-01,2.0736e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,8,9.4467e-01,1.8517e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,9,9.4500e-01,1.6744e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,10,9.4842e-01,1.5502e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,11,9.5017e-01,1.4493e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,12,9.5192e-01,1.3762e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,13,9.5292e-01,1.3136e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,14,9.5292e-01,1.2509e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
1,218,15,9.5317e-01,1.2146e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,1,5.2567e-01,1.9439e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,2,8.2725e-01,9.7999e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,3,8.9992e-01,4.9642e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,4,9.1658e-01,3.4255e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,5,9.3258e-01,2.7204e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,6,9.3725e-01,2.2517e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,7,9.3958e-01,1.9467e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,8,9.4692e-01,1.7701e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,9,9.4700e-01,1.6228e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,10,9.5000e-01,1.5120e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,11,9.5342e-01,1.4036e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,12,9.5625e-01,1.3314e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,13,9.5442e-01,1.2746e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,14,9.5717e-01,1.2096e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
2,219,15,9.5783e-01,1.1408e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,1,4.4983e-01,2.0289e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,2,7.3775e-01,1.1508e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,3,8.9483e-01,5.3050e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,4,9.2725e-01,3.4664e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,5,9.3342e-01,2.6739e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,6,9.3625e-01,2.2450e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,7,9.4242e-01,1.9784e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,8,9.4275e-01,1.7808e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,9,9.4367e-01,1.6615e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,10,9.4583e-01,1.5597e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,11,9.4500e-01,1.4673e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,12,9.4742e-01,1.3767e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,13,9.5033e-01,1.2860e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,14,9.5067e-01,1.2287e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
3,220,15,9.5017e-01,1.1897e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,1,5.8900e-01,1.8516e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,2,8.7433e-01,8.1103e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,3,9.1383e-01,4.2969e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,4,9.2325e-01,3.1070e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,5,9.3417e-01,2.5213e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,6,9.3708e-01,2.1872e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,7,9.4133e-01,1.9581e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,8,9.4550e-01,1.7808e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,9,9.5008e-01,1.6441e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,10,9.5425e-01,1.5273e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,11,9.5658e-01,1.4176e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,12,9.5500e-01,1.3504e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,13,9.5608e-01,1.2822e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,14,9.5483e-01,1.2283e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
4,221,15,9.5500e-01,1.1729e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,1,4.4242e-01,2.0204e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,2,8.7317e-01,9.9143e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,3,9.1058e-01,4.1786e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,4,9.2175e-01,3.0741e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,5,9.3275e-01,2.5655e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,6,9.3833e-01,2.2082e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,7,9.4483e-01,2.0034e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,8,9.4592e-01,1.8468e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,9,9.4525e-01,1.7048e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,10,9.4925e-01,1.6050e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,11,9.4925e-01,1.5159e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,12,9.5575e-01,1.4404e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,13,9.5542e-01,1.3636e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,14,9.5517e-01,1.3011e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
5,222,15,9.5525e-01,1.2564e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,1,4.3300e-01,2.0385e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,2,7.5175e-01,1.2404e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,3,9.0017e-01,5.4384e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,4,9.1675e-01,3.4154e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,5,9.3175e-01,2.7241e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,6,9.3683e-01,2.3547e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,7,9.3833e-01,2.0424e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,8,9.4108e-01,1.8746e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,9,9.4375e-01,1.7582e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,10,9.4433e-01,1.6405e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,11,9.4650e-01,1.5430e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,12,9.4833e-01,1.4494e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,13,9.5050e-01,1.3669e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,14,9.5342e-01,1.3032e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
6,223,15,9.5475e-01,1.2494e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,1,4.8142e-01,2.0315e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,2,7.6967e-01,1.0640e+00,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,3,9.1058e-01,5.0543e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,4,9.3083e-01,3.1916e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,5,9.3358e-01,2.5863e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,6,9.3992e-01,2.2314e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,7,9.4150e-01,1.9819e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,8,9.4392e-01,1.8042e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,9,9.4867e-01,1.6574e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,10,9.5125e-01,1.5633e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,11,9.5542e-01,1.4741e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,12,9.5433e-01,1.3918e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
7,224,13,9.5558e-01,1.3404e-01,4.2271e-02,1.3891e-01,2.4532e+05,4800
