id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,248,1,8.5583e-01,2.0392e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,2,9.4083e-01,4.6889e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,3,9.5333e-01,2.1824e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,4,9.6667e-01,1.5053e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,5,9.6833e-01,1.2397e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,6,9.6833e-01,1.0776e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,7,9.6250e-01,9.6832e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,8,9.7083e-01,8.6147e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,9,9.8333e-01,7.7150e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,10,9.8500e-01,7.3875e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,11,9.8667e-01,6.6875e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,12,9.8417e-01,6.0457e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,13,9.8583e-01,5.5387e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,14,9.8583e-01,5.4169e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,15,9.8500e-01,4.9080e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,1,7.8417e-01,2.1302e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,2,9.1750e-01,4.8806e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,3,9.3833e-01,2.0156e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,4,9.5333e-01,1.4748e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,5,9.5917e-01,1.2091e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,6,9.6667e-01,9.5147e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,7,9.6750e-01,7.9575e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,8,9.6917e-01,7.1708e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,9,9.7750e-01,6.7915e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,10,9.7750e-01,6.3860e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,11,9.8083e-01,5.8058e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,12,9.7917e-01,5.2141e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,13,9.7833e-01,4.9087e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,14,9.8083e-01,4.5158e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,15,9.8083e-01,4.2925e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,1,8.6333e-01,2.0640e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,2,9.0167e-01,4.4463e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,3,9.2833e-01,2.0384e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,4,9.4750e-01,1.5278e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,5,9.5333e-01,1.2636e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,6,9.5000e-01,1.1434e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,7,9.6500e-01,9.9522e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,8,9.5583e-01,8.7602e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,9,9.5667e-01,8.1169e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,10,9.6083e-01,7.3890e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,11,9.6667e-01,7.0658e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,12,9.6167e-01,6.5614e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,13,9.6583e-01,5.9210e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,14,9.6583e-01,5.5725e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,15,9.6417e-01,5.3250e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,1,8.1667e-01,1.8945e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,2,9.1000e-01,4.6338e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,3,9.2667e-01,1.8950e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,4,9.5167e-01,1.3807e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,5,9.5333e-01,1.1622e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,6,9.5250e-01,1.0032e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,7,9.6250e-01,8.9104e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,8,9.6917e-01,7.8025e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,9,9.7167e-01,7.2191e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,10,9.7000e-01,7.0376e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,11,9.7250e-01,6.7116e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,12,9.7083e-01,6.5258e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,13,9.7333e-01,6.1154e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,14,9.7667e-01,5.8025e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,15,9.7667e-01,5.6676e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,1,8.4583e-01,2.0564e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,2,9.1833e-01,4.5220e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,3,9.4083e-01,2.1602e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,4,9.2333e-01,1.7101e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,5,9.4917e-01,1.4682e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,6,9.6250e-01,1.2401e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,7,9.6667e-01,1.0759e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,8,9.7333e-01,9.5332e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,9,9.7417e-01,8.4466e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,10,9.7500e-01,7.5248e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,11,9.7500e-01,6.7544e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,12,9.7750e-01,6.4085e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,13,9.7500e-01,6.0137e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,14,9.8167e-01,5.6559e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
5,252,15,9.7667e-01,5.3102e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,1,7.0500e-01,2.1291e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,2,9.0750e-01,5.1215e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,3,9.3750e-01,1.9734e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,4,9.4250e-01,1.5336e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,5,9.4583e-01,1.3202e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,6,9.5583e-01,1.0973e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,7,9.6000e-01,9.5573e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,8,9.6917e-01,8.6383e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,9,9.7250e-01,8.0067e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,10,9.7583e-01,7.6245e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,11,9.7750e-01,6.9038e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,12,9.7667e-01,6.7890e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,13,9.7833e-01,6.3137e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,14,9.7917e-01,5.7289e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
6,253,15,9.7833e-01,5.4252e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,1,8.7167e-01,1.9850e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,2,9.2500e-01,3.8812e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,3,9.4500e-01,1.7694e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,4,9.4917e-01,1.3047e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,5,9.6000e-01,1.0678e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,6,9.6917e-01,9.0236e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,7,9.6833e-01,8.0636e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,8,9.7000e-01,7.0562e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,9,9.7000e-01,6.4443e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,10,9.7083e-01,6.2037e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,11,9.6833e-01,5.7627e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,12,9.6833e-01,5.5498e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,13,9.6667e-01,5.1865e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,14,9.7000e-01,4.7537e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
7,254,15,9.7750e-01,4.3492e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,1,7.2083e-01,2.1633e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,2,8.9417e-01,5.8304e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,3,9.2333e-01,2.2412e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,4,9.4333e-01,1.5187e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,5,9.5833e-01,1.2110e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,6,9.5417e-01,9.6654e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,7,9.5083e-01,8.3103e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,8,9.5500e-01,7.2046e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,9,9.6333e-01,6.6879e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,10,9.7000e-01,6.0140e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,11,9.7167e-01,5.5589e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,12,9.7083e-01,5.3087e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,13,9.7667e-01,5.1149e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,14,9.7500e-01,4.8853e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
8,255,15,9.7667e-01,4.6265e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,1,7.7000e-01,2.1784e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,2,9.3167e-01,5.7767e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,3,9.5000e-01,2.0049e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,4,9.5667e-01,1.4484e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,5,9.5750e-01,1.2243e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,6,9.6500e-01,1.0922e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,7,9.6417e-01,9.3013e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,8,9.6917e-01,8.4569e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,9,9.6667e-01,7.6652e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,10,9.7417e-01,7.0594e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,11,9.7417e-01,6.6156e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,12,9.7417e-01,6.4054e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,13,9.7583e-01,6.0742e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,14,9.7750e-01,6.0678e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
9,256,15,9.7750e-01,5.5550e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,1,8.0250e-01,2.0507e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,2,8.7417e-01,4.8966e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,3,9.4417e-01,1.8916e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,4,9.5667e-01,1.3260e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,5,9.6417e-01,1.0970e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,6,9.6750e-01,9.2482e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,7,9.6667e-01,8.3305e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,8,9.7000e-01,7.4223e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,9,9.7167e-01,6.9158e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,10,9.7333e-01,6.2545e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,11,9.7833e-01,5.6720e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,12,9.7750e-01,5.1153e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,13,9.7833e-01,4.7392e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,14,9.7833e-01,4.2394e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
10,257,15,9.8000e-01,3.9159e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
11,258,1,8.5250e-01,2.0979e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
11,258,2,9.1750e-01,4.7603e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
11,258,3,9.3583e-01,2.0566e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
11,258,4,9.4833e-01,1.5626e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
11,258,5,9.6417e-01,1.2230e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
11,258,6,9.6917e-01,1.0325e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
11,258,7,9.6667e-01,9.1621e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
11,258,8,9.7167e-01,8.3971e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
