id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,248,1,8.4358e-01,2.0313e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,2,9.3233e-01,4.5824e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,3,9.4850e-01,2.0211e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,4,9.5675e-01,1.4569e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,5,9.6017e-01,1.2105e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,6,9.6408e-01,1.0216e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,7,9.6658e-01,9.1765e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,8,9.6767e-01,8.3347e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,9,9.7075e-01,7.5222e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,10,9.7125e-01,6.8130e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,11,9.7125e-01,6.3638e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,12,9.7217e-01,5.8947e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,13,9.7375e-01,5.5623e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,14,9.7342e-01,5.2166e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
1,248,15,9.7392e-01,4.9595e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,1,8.1358e-01,2.1494e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,2,9.2483e-01,4.9754e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,3,9.4683e-01,1.9746e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,4,9.5658e-01,1.4513e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,5,9.6200e-01,1.1947e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,6,9.6700e-01,1.0120e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,7,9.7183e-01,8.8253e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,8,9.7267e-01,7.8297e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,9,9.7450e-01,7.0963e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,10,9.7375e-01,6.4977e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,11,9.7517e-01,5.9170e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,12,9.7592e-01,5.4687e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,13,9.7625e-01,5.1642e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,14,9.7867e-01,4.8082e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
2,249,15,9.7817e-01,4.4930e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,1,8.5117e-01,2.0526e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,2,9.2425e-01,4.4185e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,3,9.4425e-01,1.9291e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,4,9.5358e-01,1.4650e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,5,9.5808e-01,1.2070e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,6,9.6208e-01,1.0590e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,7,9.6592e-01,9.4459e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,8,9.6600e-01,8.5467e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,9,9.6725e-01,7.8627e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,10,9.6900e-01,7.2915e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,11,9.7025e-01,6.8062e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,12,9.7117e-01,6.2495e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,13,9.7108e-01,5.8386e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,14,9.7408e-01,5.4201e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
3,250,15,9.7392e-01,5.1589e-02,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,1,8.3133e-01,1.9476e+00,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,2,9.2017e-01,4.3130e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,3,9.4083e-01,1.9008e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,4,9.4983e-01,1.3952e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,5,9.5642e-01,1.1523e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
4,251,6,9.5667e-01,1.0095e-01,8.5349e-02,8.4736e-02,5.6328e+05,4800
