id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,153,1,9.5211e-01,7.9424e-01,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,2,9.8176e-01,2.2376e-01,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,3,9.8290e-01,1.3092e-01,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,4,9.8632e-01,1.0228e-01,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,5,9.8746e-01,7.9516e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,6,9.8404e-01,6.7007e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,7,9.8860e-01,6.1799e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,8,9.8974e-01,5.0679e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,9,9.8632e-01,4.3569e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,10,9.9088e-01,4.1126e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,11,9.8860e-01,3.9903e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,12,9.8974e-01,3.7685e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,13,9.9088e-01,3.5783e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,14,9.8974e-01,3.3226e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
1,153,15,9.9088e-01,3.1721e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,1,9.1562e-01,6.6620e-01,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,2,9.3273e-01,2.2089e-01,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,3,9.3957e-01,1.2038e-01,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,4,9.6807e-01,6.8573e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,5,9.7377e-01,5.3929e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,6,9.7263e-01,4.7722e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,7,9.7605e-01,4.3558e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,8,9.8062e-01,3.9221e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,9,9.8290e-01,3.6003e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,10,9.8176e-01,3.3176e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,11,9.8176e-01,3.0682e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,12,9.7948e-01,2.8400e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
2,154,13,9.8290e-01,2.6972e-02,7.6227e-02,3.3894e-01,5.6328e+05,3508
