id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,153,1,9.2596e-01,7.0159e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,2,9.7602e-01,2.2659e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,3,9.7902e-01,1.1498e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,4,9.8250e-01,8.1838e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,5,9.8358e-01,6.3706e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,6,9.8448e-01,5.3351e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,7,9.8787e-01,4.7340e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,8,9.8819e-01,4.1492e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,9,9.8836e-01,3.6909e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,10,9.8929e-01,3.4370e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,11,9.8871e-01,3.2414e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,12,9.8757e-01,3.0910e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,13,9.8852e-01,2.9915e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,14,9.8847e-01,2.7842e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
1,153,15,9.8904e-01,2.6716e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,1,9.3775e-01,6.8596e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,2,9.6641e-01,2.1941e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,3,9.7802e-01,1.1400e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,4,9.8241e-01,7.4698e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,5,9.8342e-01,6.3151e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,6,9.8677e-01,5.4299e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,7,9.8855e-01,4.8925e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,8,9.9013e-01,4.3241e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,9,9.9039e-01,3.9459e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,10,9.8992e-01,3.6395e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,11,9.9121e-01,3.3337e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,12,9.9105e-01,3.1698e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,13,9.9086e-01,2.9471e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,14,9.9120e-01,2.7907e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
2,154,15,9.9107e-01,2.6988e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,1,9.3901e-01,6.8252e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,2,9.7489e-01,2.2339e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,3,9.7815e-01,1.1604e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,4,9.8451e-01,8.0769e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,5,9.8684e-01,6.7403e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,6,9.8848e-01,5.6335e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,7,9.9018e-01,5.0219e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,8,9.9049e-01,4.4222e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,9,9.9097e-01,3.9379e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,10,9.9093e-01,3.6037e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,11,9.9171e-01,3.3483e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,12,9.9106e-01,3.2016e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,13,9.9212e-01,3.1871e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,14,9.9194e-01,3.0870e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
3,155,15,9.9156e-01,2.8750e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,1,9.3108e-01,7.9839e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,2,9.7299e-01,2.3795e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,3,9.8113e-01,1.2380e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,4,9.8261e-01,8.5410e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,5,9.8638e-01,6.8840e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,6,9.8757e-01,5.7077e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,7,9.8912e-01,5.0599e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,8,9.8962e-01,4.5333e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,9,9.8992e-01,4.1232e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,10,9.8987e-01,3.7947e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,11,9.9025e-01,3.5793e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,12,9.8918e-01,3.3138e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,13,9.8840e-01,3.1133e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,14,9.8828e-01,3.0226e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
4,156,15,9.8860e-01,2.8881e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,1,9.3631e-01,6.9762e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,2,9.6549e-01,2.2420e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,3,9.8169e-01,1.2025e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,4,9.8544e-01,7.8481e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,5,9.8795e-01,6.1718e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,6,9.8814e-01,5.1917e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,7,9.8849e-01,4.6259e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,8,9.8788e-01,4.1055e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,9,9.8804e-01,3.6391e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,10,9.8802e-01,3.2895e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,11,9.8836e-01,3.0633e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,12,9.8781e-01,2.9471e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,13,9.8762e-01,2.6803e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,14,9.8740e-01,2.6007e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
5,157,15,9.8899e-01,2.6086e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,1,9.5627e-01,6.0790e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,2,9.6990e-01,2.0489e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,3,9.8029e-01,1.1491e-01,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,4,9.8587e-01,7.9513e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,5,9.8684e-01,6.3795e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,6,9.8664e-01,5.3179e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,7,9.8668e-01,4.6098e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,8,9.8598e-01,4.2210e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,9,9.8838e-01,3.8477e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,10,9.8859e-01,3.6129e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,11,9.8846e-01,3.3666e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
6,158,12,9.8815e-01,3.1771e-02,9.8053e-02,3.3894e-01,5.6328e+05,4799
