id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,192,1,8.2759e-01,9.7473e-01,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,2,9.8966e-01,1.9707e-01,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,3,9.9655e-01,6.5805e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,4,9.9655e-01,4.3135e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,5,9.9310e-01,3.1601e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,6,9.9655e-01,2.8844e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,7,9.9655e-01,2.7448e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,8,9.9655e-01,2.7158e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,9,9.9655e-01,2.6825e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,10,1.0000e+00,2.5514e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,11,1.0000e+00,2.6290e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,12,1.0000e+00,2.5347e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,13,1.0000e+00,2.6685e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,14,1.0000e+00,2.6523e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
1,192,15,1.0000e+00,2.7535e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,1,9.7241e-01,8.5115e-01,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,2,9.8966e-01,1.4385e-01,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,3,9.8966e-01,5.4374e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,4,9.8621e-01,2.7582e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,5,9.8966e-01,1.9390e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,6,9.8966e-01,1.5043e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,7,9.9310e-01,1.2470e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,8,9.9310e-01,1.1725e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,9,9.9310e-01,1.0563e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,10,9.9310e-01,1.0076e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,11,9.9310e-01,9.8056e-03,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,12,9.9310e-01,1.0204e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,13,9.9310e-01,9.2936e-03,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,14,9.9310e-01,9.7889e-03,1.0699e-02,8.6029e-02,1.8416e+05,1158
2,193,15,9.9310e-01,1.0524e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,1,7.9655e-01,1.1973e+00,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,2,9.8276e-01,2.0111e-01,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,3,9.8966e-01,4.9894e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,4,9.8966e-01,2.9897e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,5,9.8966e-01,2.4335e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,6,9.9310e-01,2.1939e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,7,9.9310e-01,2.0160e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,8,9.9310e-01,1.8019e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,9,9.8966e-01,1.7315e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,10,9.8966e-01,1.6976e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,11,9.8966e-01,1.6301e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,12,9.8966e-01,1.5628e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,13,9.9310e-01,1.5527e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,14,9.9655e-01,1.5544e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
3,194,15,9.9310e-01,1.4806e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,1,8.3448e-01,1.1806e+00,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,2,9.9310e-01,1.9766e-01,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,3,9.9310e-01,7.1239e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,4,9.9655e-01,4.8980e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,5,1.0000e+00,4.1464e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,6,1.0000e+00,3.7443e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,7,1.0000e+00,3.3217e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,8,1.0000e+00,2.9092e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,9,1.0000e+00,2.6385e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,10,1.0000e+00,2.3085e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,11,1.0000e+00,2.2826e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,12,1.0000e+00,2.1784e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,13,1.0000e+00,2.0292e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,14,1.0000e+00,1.9620e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
4,195,15,1.0000e+00,1.7363e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
5,196,1,9.8621e-01,9.9504e-01,1.0699e-02,8.6029e-02,1.8416e+05,1158
5,196,2,9.9310e-01,1.6764e-01,1.0699e-02,8.6029e-02,1.8416e+05,1158
5,196,3,9.9310e-01,4.8835e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
5,196,4,9.9310e-01,2.6460e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
5,196,5,9.8966e-01,2.2094e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
5,196,6,9.8966e-01,2.4589e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
5,196,7,9.9655e-01,2.4221e-02,1.0699e-02,8.6029e-02,1.8416e+05,1158
