id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,192,1,9.1201e-01,7.8348e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,2,9.6993e-01,2.5138e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,3,9.7737e-01,1.3669e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,4,9.8515e-01,9.5570e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,5,9.8592e-01,7.3411e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,6,9.8714e-01,6.4590e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,7,9.8727e-01,5.6537e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,8,9.8753e-01,5.2069e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,9,9.8756e-01,4.8017e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,10,9.8745e-01,4.6326e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,11,9.8904e-01,4.3896e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,12,9.9014e-01,4.1925e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,13,9.9049e-01,4.1270e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,14,9.9113e-01,4.0197e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
1,192,15,9.9141e-01,3.8823e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,1,9.5222e-01,6.7561e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,2,9.7139e-01,2.2203e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,3,9.7725e-01,1.2326e-01,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,4,9.8219e-01,8.7487e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,5,9.8295e-01,7.2411e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,6,9.8598e-01,6.3753e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,7,9.8596e-01,5.6237e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,8,9.8680e-01,5.0439e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,9,9.8695e-01,4.7013e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,10,9.8731e-01,4.3385e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,11,9.8808e-01,3.9607e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,12,9.8819e-01,3.6838e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,13,9.8797e-01,3.5902e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
2,193,14,9.8773e-01,3.4809e-02,3.0818e-02,8.6029e-02,1.8416e+05,4799
