id_esperimento,seed,round,p_profile,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,233,1,1.00,8.7302e-01,1.4259e+00,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,2,1.00,8.7302e-01,7.2702e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,3,1.00,9.4444e-01,3.7545e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,4,1.00,9.6825e-01,2.2571e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,5,1.00,9.6825e-01,1.6975e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,6,1.00,9.6032e-01,1.3726e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,7,1.00,9.7619e-01,1.1140e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,8,1.00,9.7619e-01,9.5308e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,9,1.00,9.6825e-01,9.2257e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,10,1.00,9.6825e-01,8.2782e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,11,1.00,9.6825e-01,8.2570e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,12,1.00,9.7619e-01,7.5045e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,13,1.00,9.9206e-01,7.1601e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,14,1.00,9.9206e-01,7.2620e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
1,233,15,1.00,9.9206e-01,6.9760e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,1,1.00,8.8095e-01,1.5735e+00,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,2,1.00,9.2857e-01,6.7848e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,3,1.00,9.6825e-01,2.3976e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,4,1.00,9.6825e-01,1.4867e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,5,1.00,9.5238e-01,1.1687e-01,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,6,1.00,9.5238e-01,9.6900e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,7,1.00,9.8413e-01,8.7864e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,8,1.00,9.8413e-01,8.1256e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,9,1.00,9.8413e-01,7.6595e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,10,1.00,9.9206e-01,7.5417e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,11,1.00,9.9206e-01,6.8978e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
2,234,12,1.00,9.9206e-01,6.8854e-02,2.5413e-02,3.3894e-01,5.6328e+05,501
