id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,233,1,8.7707e-01,8.7879e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,2,9.5642e-01,3.4448e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,3,9.6491e-01,2.0467e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,4,9.7209e-01,1.5339e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,5,9.7505e-01,1.2493e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,6,9.7752e-01,1.0671e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,7,9.7935e-01,9.4337e-02,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,8,9.7840e-01,8.2809e-02,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,9,9.8003e-01,7.6060e-02,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,10,9.7978e-01,6.9281e-02,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,11,9.8046e-01,6.5020e-02,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,12,9.8049e-01,6.2180e-02,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,13,9.8280e-01,5.7461e-02,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,14,9.8376e-01,5.5332e-02,3.6092e-02,1.3891e-01,2.4532e+05,4799
1,233,15,9.8313e-01,5.2844e-02,3.6092e-02,1.3891e-01,2.4532e+05,4799
2,234,1,8.8156e-01,9.5461e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
2,234,2,9.5687e-01,4.0035e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
2,234,3,9.6884e-01,2.1868e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
2,234,4,9.7537e-01,1.6585e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
2,234,5,9.7360e-01,1.3577e-01,3.6092e-02,1.3891e-01,2.4532e+05,4799
