id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,268,1,3.7631e-01,1.8044e+00,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,2,9.4534e-01,2.8119e-01,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,3,9.7968e-01,1.7889e-01,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,4,9.8178e-01,1.2623e-01,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,5,9.8458e-01,1.0008e-01,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,6,9.8879e-01,8.4135e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,7,9.8949e-01,7.3838e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,8,9.8669e-01,6.5241e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,9,9.8949e-01,5.7722e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,10,9.8879e-01,5.4799e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,11,9.8879e-01,5.0539e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,12,9.8598e-01,4.9061e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,13,9.8388e-01,4.6993e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,14,9.8669e-01,4.2580e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
1,268,15,9.8598e-01,3.9632e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,1,8.3322e-01,1.8185e+00,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,2,9.4814e-01,4.0301e-01,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,3,9.7617e-01,1.8514e-01,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,4,9.8528e-01,1.3677e-01,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,5,9.8879e-01,1.1219e-01,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,6,9.8598e-01,8.8827e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,7,9.8879e-01,7.4427e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,8,9.8739e-01,6.5736e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,9,9.8809e-01,5.8906e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,10,9.8739e-01,5.5293e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
2,269,11,9.8598e-01,5.3692e-02,1.0066e-01,8.4736e-02,5.6328e+05,5706
