id_esperimento,seed,round,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,268,1,8.1403e-01,1.6983e+00,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,2,9.5758e-01,2.9136e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,3,9.7830e-01,1.2631e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,4,9.7968e-01,8.8607e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,5,9.8355e-01,6.8412e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,6,9.8631e-01,5.8711e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,7,9.8727e-01,5.0551e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,8,9.8871e-01,4.4689e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,9,9.8875e-01,3.9697e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,10,9.9037e-01,3.6383e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,11,9.8928e-01,3.2905e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,12,9.8916e-01,3.1919e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,13,9.8880e-01,3.0117e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,14,9.8914e-01,2.8992e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
1,268,15,9.8922e-01,2.7351e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,269,1,7.7286e-01,1.8271e+00,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,269,2,9.4984e-01,3.7465e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,269,3,9.7819e-01,1.2240e-01,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,269,4,9.8366e-01,9.1589e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,269,5,9.8730e-01,6.9354e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,269,6,9.8727e-01,5.7918e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,269,7,9.8858e-01,5.0231e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,269,8,9.8919e-01,4.4313e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
2,269,9,9.8988e-01,3.9652e-02,8.5342e-02,8.4736e-02,5.6328e+05,4799
